행정구역별(시도),가구주의 성별,가구주의 연령별,계.2026,미혼.2026,유배우.2026,사별.2026,이혼.2026,계.2027,미혼.2027,유배우.2027,사별.2027,이혼.2027,계.2028,미혼.2028,유배우.2028,사별.2028,이혼.2028,계.2029,미혼.2029,유배우.2029,사별.2029,이혼.2029,계.2030,미혼.2030,유배우.2030,사별.2030,이혼.2030,계.2031,미혼.2031,유배우.2031,사별.2031,이혼.2031,계.2032,미혼.2032,유배우.2032,사별.2032,이혼.2032,계.2033,미혼.2033,유배우.2033,사별.2033,이혼.2033,계.2034,미혼.2034,유배우.2034,사별.2034,이혼.2034,계.2035,미혼.2035,유배우.2035,사별.2035,이혼.2035,계.2036,미혼.2036,유배우.2036,사별.2036,이혼.2036,계.2037,미혼.2037,유배우.2037,사별.2037,이혼.2037,계.2038,미혼.2038,유배우.2038,사별.2038,이혼.2038,계.2039,미혼.2039,유배우.2039,사별.2039,이혼.2039,계.2040,미혼.2040,유배우.2040,사별.2040,이혼.2040,계.2041,미혼.2041,유배우.2041,사별.2041,이혼.2041,계.2042,미혼.2042,유배우.2042,사별.2042,이혼.2042,계.2043,미혼.2043,유배우.2043,사별.2043,이혼.2043,계.2044,미혼.2044,유배우.2044,사별.2044,이혼.2044,계.2045,미혼.2045,유배우.2045,사별.2045,이혼.2045,계.2046,미혼.2046,유배우.2046,사별.2046,이혼.2046,계.2047,미혼.2047,유배우.2047,사별.2047,이혼.2047,계.2048,미혼.2048,유배우.2048,사별.2048,이혼.2048,계.2049,미혼.2049,유배우.2049,사별.2049,이혼.2049,계.2050,미혼.2050,유배우.2050,사별.2050,이혼.2050,계.2051,미혼.2051,유배우.2051,사별.2051,이혼.2051,계.2052,미혼.2052,유배우.2052,사별.2052,이혼.2052
전국,계,합계,22597677,5304123,12636380,2241450,2415724,22806529,5448887,12614781,2249615,2493246,23000187,5577826,12593713,2259526,2569122,23180688,5702041,12566652,2269421,2642574,23348528,5822900,12532800,2279517,2713311,23506021,5943575,12491492,2289917,2781037,23651567,6063533,12441903,2300630,2845501,23786407,6184747,12383468,2311722,2906470,23908631,6301545,12320671,2323211,2963204,24019901,6416882,12252219,2335068,3015732,24119593,6530306,12177631,2347454,3064202,24204775,6639448,12096305,2360310,3108712,24273745,6742751,12008058,2373727,3149209,24325345,6838888,11913339,2387455,3185663,24358286,6926911,11812226,2401261,3217888,24371931,7006721,11704574,2415276,3245360,24365630,7078390,11590412,2428984,3267844,24338645,7141783,11469954,2441880,3285028,24290684,7196799,11343288,2453769,3296828,24221145,7243751,11210149,2463936,3303309,24131623,7283734,11070677,2472530,3304682,24023713,7318747,10924494,2479167,3301305,23899146,7350711,10771521,2483290,3293624,23760443,7381387,10612030,2485065,3281961,23609533,7412290,10446178,2484458,3266607,23447961,7444587,10274586,2481096,3247692,23277470,7478889,10098214,2475050,3225317
전국,계,24세이하,556645,550057,5970,12,606,536079,530523,5062,6,488,534054,528927,4699,0,428,530608,525850,4354,0,404,536974,532441,4150,0,383,547602,543206,4030,0,366,550953,546758,3849,0,346,544345,540496,3539,0,310,545341,541590,3460,0,291,547245,543480,3484,0,281,534036,530388,3387,0,261,517318,513770,3294,0,254,495688,492264,3182,0,242,474670,471313,3121,0,236,442070,438895,2953,0,222,405114,402210,2702,0,202,375343,372660,2496,0,187,351515,349005,2338,0,172,331144,328791,2193,0,160,314749,312514,2084,0,151,301536,299396,1996,0,144,291918,289860,1918,0,140,287611,285615,1862,0,134,289970,287980,1857,0,133,298442,296396,1909,0,137,309485,307346,1997,0,142,319206,316983,2075,0,148
전국,계,25~29세,1164366,1053911,101780,197,8478,1146934,1044838,94052,120,7924,1097160,1004519,85448,100,7093,1054990,970731,77887,57,6315,992991,918553,68853,44,5541,933512,868929,59847,35,4701,912771,853925,54612,28,4206,914284,859422,50962,18,3882,905266,853654,48017,16,3579,908935,858294,47244,16,3381,929041,877925,47815,15,3286,937768,886508,48056,15,3189,930603,880461,47078,14,3050,928406,877887,47491,13,3015,931152,879673,48439,13,3027,912602,862009,47625,11,2957,881385,831975,46524,10,2876,839313,791529,45003,9,2772,797738,751120,43914,9,2695,740672,696728,41397,8,2539,679209,638833,38032,8,2336,629168,591715,35272,7,2174,587860,552757,33053,7,2043,551312,518278,31099,7,1928,520895,489504,29545,7,1839,497796,467753,28273,6,1764,484151,455195,27241,4,1711
전국,계,30~34세,1610395,1089427,486029,1462,33477,1640674,1134869,471044,1271,33490,1624816,1144538,447540,1032,31706,1598029,1140798,426048,869,30314,1575759,1140955,405426,709,28669,1540318,1130187,382571,600,26960,1477441,1094426,357458,496,25061,1404390,1050927,330259,430,22774,1343255,1014367,307854,326,20708,1260361,959674,281926,271,18490,1183690,908802,258281,230,16377,1155678,892309,247940,205,15224,1156528,897522,244236,183,14587,1143741,889927,239658,170,13986,1145549,891107,240531,164,13747,1168411,908889,245539,163,13820,1177665,915684,248016,158,13807,1168445,908992,245723,150,13580,1163209,902366,247110,148,13585,1164125,900556,249739,145,13685,1140474,881382,245516,139,13437,1100460,848155,239085,133,13087,1046939,803977,230224,126,12612,993459,759222,221938,119,12180,922362,702626,208163,110,11463,847202,644532,191948,102,10620,785971,597275,178663,95,9938
전국,계,35~39세,1621247,672344,874226,3837,70840,1630091,704973,850962,3623,70533,1690210,758747,856495,3507,71461,1735093,807015,853735,3294,71049,1768036,847258,847249,3074,70455,1795966,883754,839878,2816,69518,1781859,898649,814000,2533,66677,1755403,905542,784164,2156,63541,1718511,901309,754613,1909,60680,1688762,900487,728825,1654,57796,1645909,890092,699717,1458,54642,1573055,857689,663120,1254,50992,1490964,818967,623926,1103,46968,1423321,787410,591405,921,43585,1333965,742161,551226,812,39766,1252536,700813,514810,715,36198,1222627,686981,500539,661,34446,1223552,690633,498661,620,33638,1208875,683215,492402,587,32671,1208903,682563,493446,567,32327,1232113,695828,503080,561,32644,1240999,700244,507530,551,32674,1230801,694102,503986,531,32182,1223395,687363,503477,518,32037,1223054,685184,505268,514,32088,1197896,669863,496133,492,31408,1154827,643053,480884,470,30420
전국,계,40~44세,1826390,483547,1187802,10776,144265,1745451,480510,1117123,9550,138268,1664824,480523,1046138,8437,129726,1630167,493717,1003782,7733,124935,1632655,517338,985077,7431,122809,1639388,544887,966872,7063,120566,1687711,587360,972797,6811,120743,1745766,632604,984681,6680,121801,1788325,673686,986978,6398,121263,1818850,708381,984188,6085,120196,1844677,739970,980228,5726,118753,1827711,752289,955704,5297,114421,1798671,757338,926974,4736,109623,1759519,753331,896718,4345,105125,1727864,751627,871327,3945,100965,1682815,741868,841052,3613,96282,1607532,715323,798366,3256,90587,1523268,683504,752443,2960,84361,1453981,657216,714951,2640,79174,1362194,618470,668361,2382,72981,1277955,582019,626651,2146,67139,1246330,569103,610842,2018,64367,1246027,570609,610281,1939,63198,1230022,563739,602841,1860,61582,1229500,563709,602945,1826,61020,1252605,574846,614319,1818,61622,1261093,578464,619182,1797,61650
전국,계,45~49세,2124886,444087,1406580,25438,248781,2133881,463651,1398468,23926,247836,2150098,485365,1392747,22861,249125,2125487,497167,1361169,21578,245573,2032294,496157,1282473,19429,234235,1936387,492104,1204755,17693,221835,1828916,486833,1119150,15591,207342,1746348,488719,1048866,13995,194768,1711608,503718,1007493,12953,187444,1715860,529208,990041,12463,184148,1724846,558711,973458,11919,180758,1777281,602910,981680,11593,181098,1840387,650340,995986,11448,182613,1887654,693960,1000451,11123,182120,1922181,731216,999480,10723,180762,1951595,765188,997142,10275,178990,1935720,779080,973701,9682,173257,1906688,785240,945674,8890,166884,1866580,781969,915627,8317,160667,1833928,780399,890635,7743,155151,1787019,770622,860386,7228,148783,1708262,744445,816645,6639,140533,1619580,712294,769659,6113,131514,1546131,685032,731477,5589,124033,1448664,644655,683913,5110,114986,1358914,606338,641369,4666,106541,1324701,592366,625242,4440,102653
전국,계,50~54세,2310927,374554,1526207,54703,355463,2249343,389022,1467614,48972,343735,2173946,395663,1405963,44506,327814,2112324,404125,1352118,40484,315597,2129709,426293,1350080,38709,314627,2173298,454467,1363234,37064,318533,2225716,485607,1379607,36447,324055,2243648,510165,1373553,35160,324770,2218678,524321,1341921,33471,318965,2122232,524666,1264313,30487,302766,2022851,521393,1187829,27913,285716,1911703,516399,1104045,24910,266349,1826642,518702,1035608,22570,249762,1791703,535016,995722,21040,239925,1797761,562579,979483,20301,235398,1809180,594440,964279,19521,230940,1866181,641988,973603,19121,231469,1934438,693127,988892,19005,233414,1986303,740290,994465,18643,232905,2024541,780728,994415,18168,231230,2057265,817817,992692,17622,229134,2041842,833051,969837,16799,222155,2012102,839803,942212,15731,214356,1970264,836418,912397,14912,206537,1936302,834828,887590,14109,199775,1886934,824319,857417,13334,191864,1803649,796357,813623,12405,181264
전국,계,55~59세,2494638,290859,1657303,108671,437805,2539571,322605,1663398,103169,450399,2570957,357868,1658074,97485,457530,2541033,385984,1614613,89577,450859,2495972,406646,1566508,82361,440457,2407532,419555,1491012,74802,422163,2329314,427536,1427355,68591,405832,2257680,436750,1368892,63043,388995,2199440,447715,1317973,58017,375735,2222754,473699,1317358,55868,375829,2273360,506414,1331666,54100,381180,2333474,542532,1349283,53473,388186,2357641,571445,1345063,51946,389187,2336660,588707,1315682,49773,382498,2240233,590235,1241077,45726,363195,2139607,587300,1167179,42079,343049,2026302,582191,1085954,37930,320227,1940421,585327,1019591,34630,300873,1907518,604191,981260,32483,289584,1918370,635879,966246,31441,284804,1935492,672629,952310,30378,280175,2001369,727114,962585,29948,281722,2079867,786141,978802,29895,285029,2141276,840875,985363,29531,285507,2187988,888154,986279,29020,284535,2228271,931313,985489,28422,283047,2215833,949499,963499,27317,275518
전국,계,60~64세,2380771,168917,1606833,188552,416469,2356990,182499,1577337,172477,424677,2340349,199679,1546777,161050,432843,2449170,230955,1597243,159222,461750,2490562,263086,1599881,151819,475776,2556196,300960,1616675,146599,491962,2609689,342567,1622291,141017,503814,2648397,380719,1620167,134996,512515,2624576,411579,1580838,125700,506459,2583820,434129,1536251,117265,496175,2497948,448619,1464692,107806,476831,2421462,457955,1404043,99951,459513,2351918,468674,1348526,92747,441971,2296622,481547,1300560,86205,428310,2326354,510777,1301989,83577,430011,2384386,547176,1318097,81764,437349,2452034,587109,1337250,81325,446350,2481034,618624,1334621,79615,448174,2461189,637013,1306470,76835,440871,2362352,638652,1233487,71190,419023,2259264,635909,1161003,65888,396464,2143716,631298,1081420,59915,371083,2057202,635631,1016621,55111,349839,2026451,657012,979556,52043,337840,2041743,692279,965549,50605,333310,2064521,733387,952850,49168,329116,2139707,794332,964328,48765,332282
