분기,구분,시도별,계약금액(억원)
2014/01,전국,전국,378893.2
2014/01,수도권,서울,48095.8
2014/01,수도권,인천,15851.2
2014/01,수도권,경기,79989.8
2014/01,지방,부산,18316.4
2014/01,지방,대구,12058.9
2014/01,지방,광주,7119.7
2014/01,지방,대전,4584.1
2014/01,지방,울산,9765
2014/01,지방,세종,8237.1
2014/01,지방,강원,22177.1
2014/01,지방,충북,16552.2
2014/01,지방,충남,22022.6
2014/01,지방,전북,17471.6
2014/01,지방,전남,24617.1
2014/01,지방,경북,31459.2
2014/01,지방,경남,29323
2014/01,지방,제주,11252.6
2014/02,전국,전국,379193.2
2014/02,수도권,서울,43166.7
2014/02,수도권,인천,22420.7
2014/02,수도권,경기,91599.3
2014/02,지방,부산,17861.8
2014/02,지방,대구,15230.5
2014/02,지방,광주,7254.8
2014/02,지방,대전,7937.5
2014/02,지방,울산,13394.6
2014/02,지방,세종,7762.2
2014/02,지방,강원,15496.3
2014/02,지방,충북,14052.4
2014/02,지방,충남,33481
2014/02,지방,전북,14296.4
2014/02,지방,전남,19201.1
2014/02,지방,경북,21894.4
2014/02,지방,경남,26304.6
2014/02,지방,제주,7838.9
2014/03,전국,전국,344028.9
2014/03,수도권,서울,55043.7
2014/03,수도권,인천,22208.6
2014/03,수도권,경기,77300.7
2014/03,지방,부산,22753.4
2014/03,지방,대구,13079.9
2014/03,지방,광주,6614
2014/03,지방,대전,3006.5
2014/03,지방,울산,9963.6
2014/03,지방,세종,4135.2
2014/03,지방,강원,10089.6
2014/03,지방,충북,11950.6
2014/03,지방,충남,30708.8
2014/03,지방,전북,8640.3
2014/03,지방,전남,12637.3
2014/03,지방,경북,22111.5
2014/03,지방,경남,28640.2
2014/03,지방,제주,5145.1
2014/04,전국,전국,440286.1
2014/04,수도권,서울,67483.7
2014/04,수도권,인천,25115.4
2014/04,수도권,경기,124838.7
2014/04,지방,부산,23909.5
2014/04,지방,대구,16527.4
2014/04,지방,광주,6331.1
2014/04,지방,대전,6387.6
2014/04,지방,울산,13901.5
2014/04,지방,세종,10648.3
2014/04,지방,강원,15835.1
2014/04,지방,충북,14334.4
2014/04,지방,충남,31708.8
2014/04,지방,전북,11325
2014/04,지방,전남,14644.8
2014/04,지방,경북,25747.5
2014/04,지방,경남,24518.2
2014/04,지방,제주,7029.2
2015/01,전국,전국,473934.2
2015/01,수도권,서울,63333.3
2015/01,수도권,인천,21131.6
2015/01,수도권,경기,104785.3
2015/01,지방,부산,27258.5
2015/01,지방,대구,15022.8
2015/01,지방,광주,8163
2015/01,지방,대전,7493
2015/01,지방,울산,16941.5
2015/01,지방,세종,7418.5
2015/01,지방,강원,24809.9
2015/01,지방,충북,19591.9
2015/01,지방,충남,31364.2
2015/01,지방,전북,18844.1
2015/01,지방,전남,16558.5
2015/01,지방,경북,39408.2
2015/01,지방,경남,40635.1
2015/01,지방,제주,11174.8
2015/02,전국,전국,525384.9
2015/02,수도권,서울,78159.4
2015/02,수도권,인천,39008.2
2015/02,수도권,경기,158705.7
2015/02,지방,부산,22483.5
2015/02,지방,대구,14346
2015/02,지방,광주,6816.6
2015/02,지방,대전,6998.2
2015/02,지방,울산,22565.1
2015/02,지방,세종,8568.3
2015/02,지방,강원,13509.4
2015/02,지방,충북,17186.4
2015/02,지방,충남,34002.4
2015/02,지방,전북,12059.3
2015/02,지방,전남,24437.9
2015/02,지방,경북,28907.9
2015/02,지방,경남,27817.8
2015/02,지방,제주,9812.7
2015/03,전국,전국,519289
2015/03,수도권,서울,44651.1
2015/03,수도권,인천,22457.3
2015/03,수도권,경기,148385
2015/03,지방,부산,37563.8
2015/03,지방,대구,17642.9
2015/03,지방,광주,7569.6
2015/03,지방,대전,6247.9
2015/03,지방,울산,62491.7
2015/03,지방,세종,10744.8
2015/03,지방,강원,16126.7
2015/03,지방,충북,17112.2
2015/03,지방,충남,25984.1
2015/03,지방,전북,14654.6
2015/03,지방,전남,18997.2
2015/03,지방,경북,25441.2
2015/03,지방,경남,30895.4
2015/03,지방,제주,12323.7
2015/04,전국,전국,553603.8
2015/04,수도권,서울,54047.5
2015/04,수도권,인천,28847.5
2015/04,수도권,경기,173677.8
2015/04,지방,부산,44000.4
2015/04,지방,대구,17453.8
2015/04,지방,광주,10273.9
2015/04,지방,대전,8891.5
2015/04,지방,울산,15131.6
2015/04,지방,세종,10197.3
2015/04,지방,강원,19373.9
2015/04,지방,충북,26964.3
2015/04,지방,충남,29463.6
2015/04,지방,전북,20716.1
2015/04,지방,전남,17225.7
2015/04,지방,경북,32485.4
2015/04,지방,경남,34748.1
2015/04,지방,제주,10105.4
2016/01,전국,전국,497071.2
2016/01,수도권,서울,46294.4
2016/01,수도권,인천,25777.5
2016/01,수도권,경기,126650.5
2016/01,지방,부산,27148.2
2016/01,지방,대구,17340.6
2016/01,지방,광주,7288.8
2016/01,지방,대전,7609.4
2016/01,지방,울산,16451.3
2016/01,지방,세종,7540.8
2016/01,지방,강원,26099.8
2016/01,지방,충북,17941
2016/01,지방,충남,35714.2
