행정구역별(시도),가구주의 성별,가구주의 연령별,계.2026,미혼.2026,유배우.2026,사별.2026,이혼.2026,계.2027,미혼.2027,유배우.2027,사별.2027,이혼.2027,계.2028,미혼.2028,유배우.2028,사별.2028,이혼.2028,계.2029,미혼.2029,유배우.2029,사별.2029,이혼.2029,계.2030,미혼.2030,유배우.2030,사별.2030,이혼.2030,계.2031,미혼.2031,유배우.2031,사별.2031,이혼.2031,계.2032,미혼.2032,유배우.2032,사별.2032,이혼.2032,계.2033,미혼.2033,유배우.2033,사별.2033,이혼.2033,계.2034,미혼.2034,유배우.2034,사별.2034,이혼.2034,계.2035,미혼.2035,유배우.2035,사별.2035,이혼.2035,계.2036,미혼.2036,유배우.2036,사별.2036,이혼.2036,계.2037,미혼.2037,유배우.2037,사별.2037,이혼.2037,계.2038,미혼.2038,유배우.2038,사별.2038,이혼.2038,계.2039,미혼.2039,유배우.2039,사별.2039,이혼.2039,계.2040,미혼.2040,유배우.2040,사별.2040,이혼.2040,계.2041,미혼.2041,유배우.2041,사별.2041,이혼.2041,계.2042,미혼.2042,유배우.2042,사별.2042,이혼.2042,계.2043,미혼.2043,유배우.2043,사별.2043,이혼.2043,계.2044,미혼.2044,유배우.2044,사별.2044,이혼.2044,계.2045,미혼.2045,유배우.2045,사별.2045,이혼.2045,계.2046,미혼.2046,유배우.2046,사별.2046,이혼.2046,계.2047,미혼.2047,유배우.2047,사별.2047,이혼.2047,계.2048,미혼.2048,유배우.2048,사별.2048,이혼.2048,계.2049,미혼.2049,유배우.2049,사별.2049,이혼.2049,계.2050,미혼.2050,유배우.2050,사별.2050,이혼.2050,계.2051,미혼.2051,유배우.2051,사별.2051,이혼.2051,계.2052,미혼.2052,유배우.2052,사별.2052,이혼.2052
서울특별시,계,합계,4183022,1435787,2031090,332889,383256,4201673,1466436,2013794,331164,390279,4216949,1491644,1996743,331601,396961,4229436,1514127,1980130,331963,403216,4239562,1534544,1963675,332275,409068,4248451,1554233,1947295,332463,414460,4255669,1573102,1930657,332584,419326,4261771,1592020,1913439,332559,423753,4266603,1609706,1896876,332423,427598,4270710,1626957,1880685,332169,430899,4274047,1643699,1864765,331855,433728,4275986,1659404,1848949,331497,436136,4276215,1673877,1833048,331097,438193,4274336,1686667,1817075,330697,439897,4269905,1697333,1801026,330287,441259,4262359,1705354,1784981,329808,442216,4251278,1710646,1768654,329259,442719,4236419,1713098,1752098,328528,442695,4217650,1712105,1735631,327789,442125,4194941,1709530,1717694,326673,441044,4168907,1704340,1699666,325395,439506,4140016,1696702,1681673,324078,437563,4108443,1689049,1661909,322176,435309,4075051,1681235,1641050,319935,432831,4040307,1674203,1618574,317473,430057,4004360,1667320,1595463,314579,426998,3967835,1662026,1570919,311211,423679
서울특별시,계,24세이하,138991,137931,972,1,87,131857,130820,951,0,86,129177,128200,893,0,84,126545,125641,821,0,83,126285,125449,759,0,77,128222,127425,724,0,73,128586,127828,687,0,71,126412,125714,634,0,64,125864,125195,610,0,59,126327,125657,616,0,54,123753,123089,612,0,52,119678,119033,593,0,52,114793,114165,576,0,52,110198,109578,569,0,51,103258,102669,542,0,47,94761,94222,496,0,43,87594,87094,461,0,39,81868,81398,436,0,34,76741,76299,408,0,34,72640,72226,384,0,30,69224,68834,361,0,29,66877,66500,351,0,26,65922,65549,347,0,26,66439,66070,343,0,26,68654,68274,354,0,26,71575,71176,370,0,29,74312,73894,387,0,31
서울특별시,계,25~29세,329526,308745,19571,13,1197,323701,302273,20167,10,1251,311921,290914,19628,11,1368,300991,280539,19009,10,1433,285119,265965,17711,8,1435,267634,250406,15870,11,1347,259711,243659,14735,12,1305,258188,242960,13954,12,1262,255277,240821,13258,12,1186,255206,241154,12920,12,1120,259727,245534,13091,11,1091,262156,247797,13265,11,1083,260189,245955,13165,11,1058,259294,244930,13302,10,1052,259997,245244,13672,10,1071,255822,241027,13715,8,1072,247536,233064,13422,6,1044,236656,222528,13095,6,1027,225658,211769,12877,7,1005,210798,197495,12334,4,965,194211,181824,11478,6,903,180298,168688,10757,5,848,168792,157841,10142,5,804,158620,148287,9570,5,758,150103,140203,9166,5,729,143475,133979,8788,5,703,139602,130291,8611,3,697
서울특별시,계,30~34세,406473,315725,86193,144,4411,417311,326418,86405,111,4377,416559,326429,85670,88,4372,412500,322463,85369,87,4581,408901,318413,85511,75,4902,402263,311966,84967,79,5251,388553,299637,83373,81,5462,370760,285033,80122,87,5518,355458,272347,77504,80,5527,335260,256297,73540,72,5351,314781,240758,68911,72,5040,306460,234209,67256,71,4924,305942,233667,67289,66,4920,302911,231198,66803,67,4843,302515,230663,66995,68,4789,307815,234320,68569,68,4858,310526,235723,69800,65,4938,308209,233292,69902,62,4953,306644,230879,70704,63,4998,306602,229563,71883,62,5094,301302,224615,71548,63,5076,291053,216167,69849,62,4975,277554,204825,67820,58,4851,263822,193187,65868,54,4713,246020,179014,62451,49,4506,227030,164531,58219,47,4233,211452,152705,54701,46,4000
서울특별시,계,35~39세,346355,192099,144148,432,9676,352897,201451,141398,407,9641,368050,215407,142596,387,9660,379192,226868,142582,357,9385,388272,236101,142544,335,9292,396457,243537,143399,276,9245,394877,243909,141595,235,9138,391760,241798,140554,203,9205,385580,236002,139909,203,9466,380558,229788,140674,195,9901,372741,221149,141058,201,10333,357791,208081,138997,208,10505,339626,194113,134856,206,10451,324609,182129,131816,198,10466,305040,167999,126612,198,10231,285961,155324,120632,190,9815,278907,149553,119353,191,9810,278952,148097,120670,196,9989,275731,144639,120916,199,9977,275203,144171,120885,191,9956,280294,146409,123531,189,10165,282459,145461,126455,193,10350,279929,143266,126117,190,10356,278132,140229,127302,185,10416,277870,139059,128085,186,10540,272686,135802,126256,178,10450,262844,129974,122536,169,10165
서울특별시,계,40~44세,335390,131567,183007,1283,19533,325650,132609,173127,1095,18819,313568,133252,161713,939,17664,308856,136870,154144,843,16999,310889,142995,150740,793,16361,314200,150731,147044,754,15671,326045,162654,147385,695,15311,339509,174741,148905,666,15197,349220,184773,149009,623,14815,357275,192925,149130,585,14635,364474,199298,150085,515,14576,362340,199103,148388,462,14387,359047,196355,147804,424,14464,352845,190347,147310,429,14759,347885,183551,148545,422,15367,340058,174432,149216,438,15972,325680,162561,146480,451,16188,308619,150314,141740,451,16114,294689,139450,138556,449,16234,276259,126767,133078,440,15974,258496,115660,126933,423,15480,252117,110140,125886,433,15658,251974,107391,128054,448,16081,248640,105092,126965,448,16135,248226,104550,127097,445,16134,252969,105087,130930,446,16506,254659,104451,132983,449,16776
서울특별시,계,45~49세,364738,112733,214592,3153,34260,367454,118766,211709,2958,34021,369867,125022,208328,2778,33739,366848,128955,202553,2536,32804,351613,129605,189102,2147,30759,336654,129050,176855,1885,28864,320415,128848,163326,1655,26586,308772,130144,152513,1433,24682,304557,134297,145507,1288,23465,307100,140949,142445,1204,22502,310964,149242,139113,1132,21477,323437,161617,139768,1059,20993,337422,174158,141473,1015,20776,347770,184720,141803,956,20291,356518,193397,142161,911,20049,364112,200092,143202,831,19987,362052,199951,141573,773,19755,358665,197030,140995,731,19909,352058,190634,140383,741,20300,346533,183170,141462,749,21152,337928,173254,141891,779,22004,322976,160927,138986,792,22271,305500,148271,134246,794,22189,291125,136906,130983,798,22438,272155,123739,125439,788,22189,254107,112286,119393,769,21659,247546,106426,118289,791,22040
서울특별시,계,50~54세,388676,91295,238294,7226,51861,375617,94531,226089,6205,48792,359387,95302,213280,5417,45388,347609,97773,202082,4809,42945,349566,103685,198961,4554,42366,356607,111551,198455,4330,42271,364037,119086,198546,4173,42232,366859,125844,195461,3946,41608,363873,130168,189900,3641,40164,348516,130992,177077,3149,37298,333508,130551,165493,2784,34680,317185,130395,152702,2439,31649,305505,131707,142554,2124,29120,301485,136011,136109,1917,27448,304288,142899,133374,1790,26225,308535,151493,130398,1677,24967,321702,164425,131277,1585,24415,336180,177451,133055,1535,24139,347005,188422,133516,1460,23607,356177,197456,133986,1404,23331,363898,204313,134983,1325,23277,361558,203915,133375,1256,23012,357732,200572,132743,1212,23205,350397,193545,132012,1230,23610,344138,185417,132881,1259,24581,334642,174741,133057,1316,25528,318866,161744,130056,1340,25726
서울특별시,계,55~59세,406558,67614,256514,15240,67190,412118,75056,255179,14112,67771,416018,83344,252348,12830,67496,409212,89702,243421,11434,64655,398482,93793,233043,10331,61315,380551,95625,218517,9120,57289,365228,96921,206763,7939,53605,351112,98166,195738,7057,50151,340992,101071,186033,6344,47544,344246,107607,183685,6031,46923,352371,116160,183632,5771,46808,360625,124312,184021,5576,46716,364269,131593,181448,5305,45923,361801,136294,176346,4931,44230,346729,137154,164356,4322,40897,331926,136664,153549,3842,37871,315667,136381,141525,3366,34395,304187,137712,132012,2948,31515,300578,142236,126068,2662,29612,304026,149626,123613,2489,28298,309105,158869,120953,2332,26951,323525,172848,122019,2221,26437,339171,186936,123872,2162,26201,351097,198858,124458,2073,25708,361315,208729,125074,2016,25496,369649,216118,126088,1934,25509,367186,215515,124574,1861,25236
서울특별시,계,60~64세,375145,37332,244486,26563,66764,364931,39853,235248,23618,66212,359045,43251,228334,21877,65583,372026,49524,232800,21274,68428,377975,56738,232422,19722,69093,389166,65855,234472,18464,70375,398862,75395,234809,17744,70914,404032,83990,232834,16421,70787,399012,90722,225254,14878,68158,390155,95111,216384,13644,65016,374035,97238,203571,12208,61018,360440,98862,193262,10866,57450,347781,100441,183478,9812,54050,338912,103699,174834,8932,51447,343353,110796,173061,8535,50961,352469,119907,173344,8237,50981,361562,128565,173958,8018,51021,365865,136200,171740,7687,50238,363676,141096,166959,7207,48414,348703,141974,155576,6392,44761,334082,141576,145340,5719,41447,317890,141334,133878,5020,37658,306690,142891,124834,4421,34544,303645,147885,119237,4011,32512,307752,155854,116971,3761,31166,313743,165859,114549,3531,29804,329466,180953,115721,3388,29404
